id,item,t,Y
8,32,2,1
8,33,2,0
8,34,2,0
8,35,2,1
8,36,2,0
8,37,2,0
8,38,2,0
8,39,2,0
8,40,2,0
8,41,2,0
8,42,2,0
8,43,2,0
8,44,2,0
8,45,2,0
8,46,2,1
8,47,2,0
8,48,2,0
8,49,2,0
8,50,2,0
9,1,2,1
9,2,2,1
9,3,2,1
9,4,2,1
9,5,2,1
9,6,2,0
9,7,2,1
9,8,2,1
9,9,2,1
9,10,2,0
9,11,2,1
9,12,2,0
9,13,2,0
9,14,2,1
9,15,2,1
9,16,2,1
9,17,2,1
9,18,2,0
9,19,2,0
9,20,2,1
9,21,2,1
9,22,2,1
9,23,2,1
9,24,2,0
9,25,2,1
9,26,2,1
9,27,2,1
9,28,2,1
9,29,2,1
9,30,2,0
9,31,2,1
9,32,2,1
9,33,2,1
9,34,2,0
9,35,2,0
9,36,2,1
9,37,2,0
9,38,2,0
9,39,2,0
9,40,2,0
9,41,2,0
9,42,2,0
9,43,2,0
9,44,2,0
9,45,2,0
9,46,2,0
9,47,2,0
9,48,2,0
9,49,2,1
9,50,2,1
